Aircraft,Number_Objects,Engines,Origin State,Phase,Description,Object Size,Weather,Warning,Altitude,Total Cost
B-777,65,2,Georgia,Climb,ENG EGT EXCEEDED MAX LIMIT 900-952 DEGREES. ENGINE WAS CHANGED. NO REMAINS COLLECTED AT ARPT. ENG MANU DOES NOT BELIEVE THE EGT EXCEEDANCE WAS RELATED TO THE BIRD AFTER DISCUSSION WITH THE AIRLINE REP.,Medium,Some Cloud,N,200,13.30687919
Homebuilt,55,,California,Descent,"ID BY SMITHSONIAN FAA 398.  APPROX 30 MINUTES AFTER SUNDOWN, A FLOCK OF ABOUT 20 SIZEABLE BIRDS CAME INTO RANGE OF THE LDG LIGHT. THERE WERE 3-4 DIRECT HITS TO FUSELAGE, WING LDG GEAR AND PROP. BIRDS WERE NOT SEEN UNTIL ILLUMINATED BY LDG LIGHT.  SPLATTER",Medium,No Cloud,N,1500,7.739359203
CAP AVION MUDRY,55,1,Florida,Approach,"ID BY SMITHSONIAN, FAA 2865. WHILE PERFORMING LOW LEVEL AEROBATIC ROUTINE AT DAB HIT AT LEAST 3 MOURNING DOVES.",Small,No Cloud,Y,25,3.988984047
C,28,,South Carolina,Take-off run,,Small,Some Cloud,Y,0,8.243545508
CL,48,2,Ohio,Take-off run,HIT FLOCK OF OVER 300 BIRDS. 1 ENG LOST THRUST. DMG TO #1 ENG INCLUDED BENT FAN BLADE AND SEVERAL DAMAGED COMPRESSOR BLADES. REMOVED AND REPLACED #2 FAN LADES DUE TO DMG. BOTH ENGS SHOWED FLUCTUATION. ARPT ESTIMATED # STRUCK TO BE 38 BASED ON REMAINS FOUN,Small,Some Cloud,Y,0,10.56854385
B-757,43,2,Texas,Climb,CREW REPTD A BIRDSTRIKE TO RADOME ON CLIMB. MX FOUND RADOME WAS DELAMINATED FROM STRIKE. RADOME WAS REPLACED. EVENT 11311.,Large,Overcast,Y,14000,10.43420403
C,48,2,South Dakota,Approach,DMG TO BLADES ON #2 ENG.,Small,Some Cloud,N,800,11.46248444
BE,34,2,Missouri,Approach,HIT WING ABOUT 5' FROM TIP. MODERATE DMG. WRINKLED LEADING EDGE. FERRIED FOR REPAIR.  REPLACED ALL OF DEICE BOOT & QUITE A BIT OF THE WING. FLT CANCELLED. ID BY SMITHSONIAN FAA 1060.,Medium,Some Cloud,N,300,9.508294506
B-737,44,2,Arizona,Take-off run,"ID BY SMITHSONIAN, FAA 4199. PEREGRINE FALCON - WHOLE FEATHER, AND MOURNING DOVE - DNA. PILOT REPORTED STRIKE ON ROTATION. CONTD WITH TAKE OFF BUT AT 10,000 FEET REPTD SEVERE VIBRATION IN ENG. RETD TO LAND W/O INCIDENT.",Medium,No Cloud,N,0,9.929837328
CL,41,2,Delaware,Approach,HARD BRASS BRAKE LINE ON RT MAIN GEAR CRACKED. BIRD REMAINS WEDGED THROUGHOUT MAIN GEAR COMPLEX ON RT SIDE. DAMAGE TO RT ENG INLET AND SUBSEQUENT COLLATERAL DMG TO ENG FANS AND INTERNAL PARTS. INGESTION?,Medium,Some Cloud,N,1000,12.47961649
CL,44,2,DC,Approach,PILOT REPTD STRIKING BIRD WHEN TURNING BASE TO JOIN FINAL APCH. THERE APPEARS TO BE SOME BUCKLING OF SKIN. A/C WAS STRUCK ON THE NOSE. THE BULKHEAD HAD TO BE REPLACED. PHOTOS.,Medium,No Cloud,N,2000,10.15424627
C,46,1,Washington,Climb,SML DENT ON L WING LEG 6' FROM FUSELAGE. REPAIR PULLED DENTED AREA OUT AND IS RELATIVELY SMOOTH TO ADJOINING SURFACE. CONFLICTING REPTS FOR WHERE STRIKE OCCURRED. 1 SAYS APCH TO SEA THE OTHER SAYS CLIMB OUT OF SKAGIT),Medium,Overcast,N,400,4.8978398
C,55,2,Missouri,Landing Roll,NO DMG. FEATHERS ON COWL AND A LITTLE BLOOD ON PROP OBSERVED AFTER SHUTDOWN. LOOKED LIKE SANDPIPER? STRIKE OCCURRED UPON EXITING TWY LIMA.,Small,No Cloud,Y,0,3.912023005
C,46,2,New Jersey,Climb,"OVER 40 BIRDS STRUCK. INGESTED IN BOTH ENGS. AT LEAST 2 BENT TURBINE BLADES. ARFF STANDING BY. ISOLATED DAMAGE TO ENG FANS AND RT ENG INLET ONLY. NO OTHER AIRFRAME DAMAGE. (DATA ENTRY NOTE: EARLY REPORT HAD WING, FUSELAGE, LDG GEAR, OTHER AND NOSE ALSO MA",Small,Some Cloud,Y,10,11.64036836
BA,38,2,Ohio,Approach,"ESTIMATES ON MONETARY LOSSES ARE FROM COMPANY HQ. TE FLAP BENT, ALMOST PULLED OFF. ADDITIONAL COSTS WER FOR RENATAL VAN, MECHANICS, OVERNIGHT STAYS, USE OF ADDITIONAL AIRCRAFT. THEY BORROWED A FLAP FROM ANOTHER AIRCRAFT THAT IS CURRENTLY FOR SALE AND NOT",Large,Some Cloud,Y,10,9.747593688
B-737,57,2,South Carolina,Approach,NO DMG.,Small,No Cloud,N,1000,5.703782475
B-737,42,2,Colorado,Landing Roll,"EVIDENCE OF BIRDSTRIKE ON L MAIN LANDING GEAR ASSEMBLY. LANDING ROLL OUT-FLARE ON. (DATA ENTRY NOTE: # STRUCK NOT REPTD, ASSUME 2-10, SAME AS # SEEN.)",Medium,No Cloud,Y,0,5.755742214
PA,63,1,Illinois,Approach,BIRD HIT JUST OTBD OF RT FUEL TANK. LARGE DENT IN TOP LE OF RT WING. FLT CHARACTERISTICS NOT AFFECTED. COMPLETED APCH TO A PREC LDG. NOT PUNCTURES.,Large,Some Cloud,N,1650,8.32651683
CL,67,2,Colorado,Approach,"BIRDS REPTD AS ""GULLS? SNOW GEESE? THEY WERE WHITE, IN FORMATION AND LOOKED ABOUT THE SIZE OF GULLS."" ATIS WARNING. DARK RAINY NIGHT. F/O SAW THE FLOCK A SPLIT SECOND BEFORE WE HIT THEM. NO ENG DAMAGE AS FAR AS WE KNOW. ENG INDICTIONS REMAINED NORMAL. RT",Medium,Overcast,Y,5500,13.65131729
BE,53,2,Utah,Approach,,Small,Some Cloud,N,50,7.627057417
C,57,1,California,Climb,HIT L WING LEADING EDGE ABOVE PITOT TUBE. PUSHED IN A BIT. REPLACING SKIN SECTION SINCE IT CAUGHT A RIB AND PATCHING ACROSS THE RIB WOULD BE DIFFICULT OR PROHIBITIVE.,Medium,No Cloud,Y,1000,8.894258825
Airbus,44,2,New York,Landing Roll,"BIRD REPTD AS RING-TAILED GULL, ASSUME RING-BILLED. DELAYED SUBSEQUENT FLT FOR CLEANING AND INSPN. 12 MINS.",Medium,No Cloud,N,0,5.783825182
SAAB,48,2,Alaska,Landing Roll,,Small,No Cloud,N,0,9.210340372
Airbus,50,2,Texas,Landing Roll,"BIRDSTRIKE MAJOR ON DLG DFW. COMING OUT OF REVERSE THRUST, ENCOUNTERED A FLOCK OF PIGEONS ON RWY. MULTIPLE BIRD STRIKES. A/C TAKEN OUT OF SVC FOR BENT COMPRESSOR BLADES IN L ENG. 2 BENT BLADES APPX 2 1/2 INCHES DOWN FROM TIP WITH  DEFLECTION OF 1 1/4 INCH",Small,Overcast,Y,0,11.08337256
C,38,2,New Jersey,Climb,"1 GOOSE OUT OF A FLOCK OF ABOUT 10, GRAZED THE RADOME CAUSING SOME DMG. FORTUNATELY IT WAS NOT A DIRECT STRIKE.",Large,No Cloud,Y,1800,9.471704136
PA,54,2,Florida,Climb,HIT BIRD SHORTLY AFTER ROTATION BEFORE GEAR RETRACTION. RETD TO LAND AS PRECAUTION.,Small,Some Cloud,N,75,4.025351691
Learjet,60,2,Illinois,Take-off run,,Small,No Cloud,N,0,8.42156296
B-717,41,2,New York,Approach,ID BY SMITHSONIAN. POSTFLT INSPN REVEALED TWO BIRDSTRIKE LOCATIONS. PILOT STATED NO BIRD SEEN. TRS MX STATED THERE WOULD BE NO DELAYS INCURRED AND REPLACEMENT OF LANDING LIGHT ON WINGTIP WOULD BE DEFERRED TO PLANES NEXT LOCATION. OVER BAY AFTER ALNDING CL,Small,Some Cloud,Y,400,6.907755279
C,38,2,Texas,Landing Roll,ENG INGESTED BIRD. RPM WENT TO 0% GEN KNOCKED OFF. TEMPS INCREASED.,Small,Some Cloud,N,0,9.471781133
BE,64,2,North Dakota,Approach,"ID BY SMITHSONIAN FAA 3204. WHOLE FEATHER AND DNA. DMG TO L WING LEADING EDGE APPROX 12"" ACROSS AND 5"" DEEP. A/C WAS DOWN FOR 6 WEEKS LEADING TO LOST REVENUE. DMG WAS CONSIDERED MINOR ACCORDING TO ICAO STANDARDS.",Medium,No Cloud,N,3800,12.47591656
CIRRUS SR 20/22,50,1,Mississippi,Approach,"3 CRACKS IN WING ABOVE LEADING EDGE 9"" INBD OF WINGTIP. ARPT MGR SAID THERE HAS NEVER BEEN A BIRDSTRIKE AT THAT AIRPORT.",Medium,No Cloud,N,500,6.93439721
Airbus,31,2,California,Take-off run,FLOCK OF 4-5 BIRDS FLEW RT TO LEFT.  POSSIBLY SPARROWS. INSPN FOUND #2 ENG HAS 5 DAMAGED BLADES. 3 WERE BLENDED AND 2 WERE SCRAPPED. THE #4 & #7 TIRES WERE DAMAGED DUE TO THE ABORTED T/O.,Small,No Cloud,N,0,11.53025445
B-737,57,2,Florida,Approach,NO DMG TO A/C. JUST A LARGE SPLAT ABOUT 8 INCHES ROUND ON CAPT WINDSCREEN. LOCATION REPTD AS 20 MILES W OF HOLID INTXN ON THE LOCALIZER TO 9L KFLL.,Medium,Some Cloud,N,7080,4.605170186
Bell,53,1,Texas,,ON DESCENT TO HOSPITAL HELIPAD AT 2000 MSL STRUCK SMALL BIRD ON CENTER OF COPILOT (L) WINDSHLD. MX INSPECTED  A/C AND FOUND NO DMG. TIME OUT OF SERVICE = 2.5 HRS. DIST FROM ARPT = 9 MILES 341 DEGREES FROM KLFK.,,Overcast,,,6.267200549
B-737,50,2,Texas,Approach,NO DMG. NO INJURIES.,Small,No Cloud,N,1000,5.010635294
C,22,2,North Carolina,Approach,BIRD HIT LEFT ENG FAN DOME. BORESCOPE FOUND BIRD DID NOT GO THRU THE CORE. NO DMG. COMPRESSOR WASH AND TEST RUN.,Small,Some Cloud,N,100,6.135564891
B-737,87,2,Alabama,Take-off run,ID BY SMITHSONIAN FAA 1939. A/C HIT BIRD WITH NO APPARENT EFFECT ON FLGHT. MX FOUND DMG TO 6 FAN BLADES AT BWI AND FEATHERS IN #2 ENG. SUBMITTED TO USDA/WS AT BWI. ALTHOUGH 6 BLADES WERE DAMAGED THEY REPLACED THE ENTIRE SET OF 38.,Small,No Cloud,N,0,13.81558855
B-757,55,2,Missouri,Approach,SHEET METAL PEELED BACK WHERE RADOME MEETS FUSELAGE. MX DID INTERIM REPAIR. EVEN 6787.,Large,Overcast,N,4000,6.520621128
B-737,61,2,Utah,Take-off run,"AFTER T/O THRUST WAS SET AND ACCELERATING DOWN RWY, SMELLED ODOR FROM PACKS. ENG INDICATIONS NORMAL AND CONT T/O. SMELL WENT AWAY DURING CLIMBOUT. PERFORMED PRECAUTIONARY WALKAROUND OF ENG AT DEST AND F/O FOUND BIRDSTRIKE. TIME OUT OF SERV 0.5 HRS.",Small,Some Cloud,N,0,5.730099783
DC,85,2,Missouri,Climb,LOST #1 ENG UPON INGESTNG BIRD AT ROTATION. A/C BEGAN TO YAW TO THE LEFT. RETD TO ARPT. EMERGENCY DECLARED. 1 BLADE FRACTURES. FAN CASE HEAVILY DAMAGED.  VIOLENT COMPRESSOR STALLS. RETARDED THROTTLE TO JUST ABOVE IDLE. ENG STABILIZED. L ENG RUNNING AT IDE,Small,Some Cloud,N,50,13.75052394
C,56,1,Mississippi,Descent,"ID BY SMITHSONIAN, FAA 3097. DNA. (DATA ENTRY NOTE: DATE REPTD AS BOTH 5TH BY PILOT AND 6TH BY  NTSB) STRUCK RT WING CAUSING SUBSTANTIAL DMG TO WINGSPAR. PILOT STATED AS HE INITIATED A DESCENT AT NIGHT 10-12 MILES NE OF ARPT, HE HEARD A LOUD BANG AND FELT",Medium,No Cloud,N,2500,9.03990786
BE,51,1,Texas,Approach,"DENTED TOP LE RT WING. BIRD REPTD AS ""FIELD LARK""",Medium,Overcast,N,50,5.765191103
PA,55,1,Illinois,Landing Roll,PILOT SAW A DEER RUN ACROSS RWY THEN HIT 2ND DEER ON L SIDE. DMG REPTD AS MINOR TO L WING & FUSELAGE. NO INJURIES. NTSB SAYS SUBSTANTIAL DMG TO L FUSELAGE & WING.,Large,No Cloud,N,0,9.951849053
MD,70,2,New York,Approach,ID BY SMITHSONIAN. F/O REPTD THAT BOTH HE AND CAPT CAUGHT A QUICK GLIMPSE OF WHAT THEY ASSUMED WAS A BIRD TO THEIR LEFT. FELT IMPACT SHORTLY AFTER. LEAD DAL MX STATED A/C WILL BE GROUNDED UNTIL THEY ORDER PARTS AND MAKE NECESSARY REPAIRS. DMG TO SLAT AND,Medium,Some Cloud,N,4000,8.517193191
Citation,49,2,Oregon,Climb,"ENTERED THE CLOUDS AT 100' AGL AT 1200 MSL ENCOUNTERED THE GEESE IN THE CLOUDS. HIT 4. ABOUT 25-30 IN CLOUDS. 1 IT PIC WINDSHLD, 1 MID RT WING, 2 TO L WING. DMG TO WING. ID BY SMITHSONIAN. BIRDS REPTD AS GEESE BY PILOT.",Medium,Overcast,Y,200,10.31115024
CL,50,2,Missouri,Take-off run,"I WAS THE F/O FLYING. AFTER ALIGNING ON THE RWY, THE CAPT STATED, ""YOUR AIRCRAFT"", AND I COMMENCED T/O ROLL. I NOTED SEVERAL GEESE WELL DOWN THE RWY, OFF THE RT EDGE, MOVING FURTHER TO THE RT. WE CONTINUED ACCELERATING AND AS WE PASSED 80 KNOTS THE GEESE",Large,No Cloud,Y,0,8.213110698
MD,56,2,Florida,Climb,"ATIS WARNING. SAW LRG BIRD ON T/O 1-2 SECONDS PRIOR TO IMPACT. BIRD HIT LWR NOSE ON CENTERLINE, FOLLOWED BY A SIGNIFICANT VIBRATION & BURNING RUBBER SMELL. MADE AN OVERWT PREC LDG AFTER DECLARING AN EMERGENCY. DMG: 2 FT LONG CRACK IN RADOME BACK TO THE RE",Large,Some Cloud,Y,350,11.09127
EMB,34,2,Nevada,Approach,UNKNOWN - HAWK OR BUZZARD. DMG TO RT PROP DEICE AREA AND DMG TO RT ENG NACELLE. LOCATION REPTD AS 7 MILES ESE OF KEKO.,Large,No Cloud,N,2000,10.84612806
DHC,53,2,Oregon,Climb,"NO DMG OTHER THAN SOME SCRATCHES ON PAINT. COST WAS FOR LOST OF SERVICE AND MX TIME. BIRDS REPTD AS GEESE, ASSUME CANADA FROM DATE & LOCATION.",Large,No Cloud,N,5000,9.747593688
B-737,47,2,Tennessee,Climb,BIRD STRUCK UPPER STARBOARD SIDE OF RADOME. NO DMG.,Small,No Cloud,N,12,6.684611728
Citation,44,2,Tennessee,Approach,NO DMG. LOCATION RETPD AS 4NM NE OF ARPT.,Small,Some Cloud,N,1300,5.323009979
Gulfstream,43,2,Oregon,Approach,"ID BY SMITHSONIAN, FAA 3739. WHOLE FEATHER AND DNA. ON DOWNWIND FOR 32L (TEMP RWY AT LMT DURING CONSTRUCTION) AT APPROX 1500 FT AGL WE HEARD AND FELT A  LOUD THUMP. CONTD APCH & LANDED NORMALLY. NOTICED DAMAGE TO LEFT SLAT DURING POST FLT INSPN. DIRECTOR",Medium,No Cloud,N,1500,11.74796597
Learjet,52,2,Ohio,Landing Roll,"COST ESTIMATED BETWEEN $10-20,000. LEADING EDGE OF WING AND FLAP DAMAGED. PLANE WAS FLOWN TO MI FOR REPAIRS.",Large,No Cloud,N,0,9.826660502
C,41,2,Minnesota,Approach,"PILOT REPTD HITTING 2 BIRDS OVER RIVER ON APCH OF RWY 32. REMAINS OF MALLARD RECOVERED FROM WING/FLAP. EST COST OF $37,000 MINI IS $14,000.",Medium,No Cloud,N,50,10.62410398
B-727,50,3,Kentucky,Approach,HIT L SIDE FUSELAGE UNDER CAPT'S WINDOW. NO DMG. COST FOR 1 HR INSPN. CAPT HEARD A POP SOUND ON HIS SIDE OF A/C. SUSPECTED BIRDSTRIKE.,Small,No Cloud,Y,3000,3.970291914
BE,41,2,Florida,Landing Roll,"RH ENGINE AND PROPELLER, RH MLG DOOR, R ENG COWLING, RH INBD NACELL FAIRING, LITTLE DAMAGE TO FIREWALL LOWER CORNER, AND RH INBD LEADING EDGE SKIN",Large,Overcast,N,0,10.30895266
B-737,35,2,Texas,Descent,NO DMG. NO REMAINS. A/C TIME OUT OF SERVICE STATED AS 0.5 HOURS.,Medium,No Cloud,Y,7000,5.755742214
CL,51,2,Vermont,Landing Roll,FALCON HIT RT LWR FUSELAGE JUST BELOW CO/P'S FEET ON LDG. ICE DETECT PROBE WAS BENT ABOUT 15 DEGREES AFT OF NORMAL. REVENUE FLT WAS CANCELLED. JET SPENT 2 HRS AT GATE. THEN FERRIED TO CVG FOR REPAIR. BIRD SURVIVED.,Medium,Overcast,Y,0,9.859483417
B-737,98,2,New Jersey,Approach,"ATIS WARNING. MULTIPLE BIRDSTRIKES DURING LDG FLARE 5-10' AGL. 2 BIRDS FOUND IN ENG, (1 IN CORE) AND 6 DEAD BIRDS ON RWY. BIRDS HIT RADOME AND CAPT'S WINDSHLD. REPLACED NOSE COWL. 4 BLADE TIPS CHIPPED, 5 BLADES WERE TORN FROM EDGE INWARD. ENG WAS REMOVED.",Large,No Cloud,Y,10,14.38921858
BE,50,1,Ohio,Approach,DAMAGED DLG GEAR DOOR SQUAT SWITCH AND ROD. EXACT TIME OUT OF SERCIE UNKN. AT LEAST FROM  SEP 29 TO OCT 15TH.,Large,No Cloud,N,400,7.987864096
Grumamer,58,1,Florida,Landing Roll,ATC REPTD STRIKE. FOUND BIRD ON TWY A4. MINOR DENT ON OUTER EDGE OF WING NEAR WINGTIP.,Small,Some Cloud,Y,0,5.940171253
B-767,45,2,N/A,Climb,"DMG TO A/C NEAR TOP OF FUSELAGE AFT OF F/O'S SIDE WINDOW. DIMENSION OF DMG ARE AIS ROUGHLY 8"" X 6"" X 1/4"" AND IS SIMILAR IN SHAPE TO THE NOSE OF A BULLET.",Large,No Cloud,N,7500,11.73176376
B-737,35,2,Florida,Approach,"GREY BIRD HIT LEADING EDGE OF COWL. SOME OF BIRD ENTERED ENG (BYPASS, NOT CORE) AND SOME WENT OUTSIDE.",Small,No Cloud,Y,75,4.65396035
PA,56,1,Florida,Approach,ATIS WARNING. 3 NM NW OF OMN ARPT. LARGE DENT ON PILOT SIDE LEADING EDGE TOWARD WING TIP.,Large,Some Cloud,Y,800,6.267200549
Learjet,50,2,Alaska,Take-off run,ID BY SMITHSONIAN. INGESTED INTO #2 ENG. FOUR FAN BLADES DMGD.,Large,Overcast,N,0,12.61153775
CL,40,2,Wisconsin,Approach,LANDING FLARE SAW SEVERAL BIRDS IN T/D ZONE OF RWY 18. ALL BIRDS TOOK OFF. ONE STRUCK LT PORTION OF NOSE SLIDING UP INTO THE WINDSHIELD WIPER AND ACROSS CA SIDE WINDSHIELD. REST OF LANDING UNEVENTFUL. NO DMG.,Small,Some Cloud,N,5,6.93439721
B-717,44,2,Massachusetts,Take-off run,GULL HIT L MAIN LDG GEAR. COST $100 FOR MX CLEANUP,Medium,Overcast,Y,0,4.736198448
B-737,59,2,Missouri,Approach,"ATIS WARNING. ID BY SMITHSONIAN FAA 925. #1 ENG NOSE COWL LIP DENTED BEYOND LIMITS. FERRY FLT TO DEN FOR REPAIR. 1 FLT DELAYED. 1 FLT CANCELLED. TOTAL COST REPTD AS $158,000.",Medium,No Cloud,Y,200,12.15486882
C,61,1,Kansas,Take-off run,"HIT DEER JUST AT ROTATION. NEVER SAW DEER. HIT NOSEWHEEL & RT LDG GEAR STRUT AND FUSELAGE. CONCERNED WE LOST OR SEVERELY DAMAGED NOSEGEAR. LANDED ON GRASS RWY WITH POWER OFF TO AVOID PROP STRIKE. FULLY EXPECTED NOSE OVER EVENT, BUT IT WORKED FINE. STILL I",Large,No Cloud,N,0,8.3423635
B-737,52,2,California,Approach,LOCATION REPTD AS 4NM E KSAN.,Small,Some Cloud,N,2000,4.634728988
ATR,40,2,Montana,Approach,"PILOTS DESCRIBE BIRD STRIKING THE CENTER WINDSHIELD STRUT. BLOOD WAS NOTED BUT NO DMG FOUND. BIRD FOUND ""IN TWO PIECES"" ON RWY BY ARPT PERSONNEL. EST COST IN #24 FOR INSPN OF A/C BY COMPANY MX. NO DMG NOTED. LOCATION REPTD AS OVER RWY 29.",Medium,Some Cloud,N,40,5.036952602
Citation,54,2,Illinois,Climb,"ENG #1 RINGLET WAS DAMAGED. COST BETWEEN $15,000-$20,000.",Small,No Cloud,Y,400,9.875396672
C,37,1,Florida,Approach,HIT UNSEEN BIRD ENTERING DOWNWIND LEG AT PATTERN ALT. FLT CHARACTERISTICS SEEMED NORMAL ON LDG. NO REMAINS FOUND.,Medium,No Cloud,N,820,8.425954711
T,28,,Texas,Take-off run,"ID BY SMITHSONIAN, FAA 2606. 100% DNA MATCH. ON ENGINE RUN UP, IN PREPARATION FOR TAKE OFF, EXPERIENCED LEFT ENG PROBLEMS. INSPN OF A/C AFTER ABORTED T/O REVEALED BIRD INGESTED AND FODDED LEFT. ENG.  (DATA ENTRY NOTE: #2 ENG WAS CHECKED ON FORM WHICH INDI",Small,Some Cloud,Y,0,10.14215006
CL,38,2,Nebraska,Approach,"ID BY SMITHSONIAN, FAA 2427. FLEW THROUGH A FLOCK OF BIRDS ON APCH. FOUND BLOOD SMEAR ON LE OF LEFT HORIZ STABILIZER. ARPT SECURITY COLLECTED BLOOD SAMPLE. NO DMG.",Medium,No Cloud,N,3000,5.375278408
SAAB,55,2,California,Take-off run,"FLT 103. BIRD STRUCK NOSE CONE, BLOOD OVER WINDSHLD. OTHER BIRD WAS INGESTED. ENG RAN BOUT 50 DEGREES HOTTER. FLT TO SAN WAS CANCELLED. ENG WAS CHANGED FOR FOD CONTAMINATION. (ENG MANU REPTS NO FAN BLADE DMG)",Small,Some Cloud,N,0,13.59463942
Learjet,51,2,Alabama,Approach,NO DMG. HIT WINGTIP. COST WAS $100 FOR CLEANING.,Small,Some Cloud,N,20,4.762173935
C,49,1,Florida,Approach,"2-3 NM NORTH OF CHARLOTTE COUNTY ARPT, A BROWN BIRD APPEARED ON HIS LEFT ON A COLLISION COURSE. HE BANKED LEFT TO AVOID BIRD BY HEARD A CRASH. SAW DMG TO RT HORIZONTAL STABILIZER LEADING EDGE. RUDDER & PITCH CONTROL WERE AFFECTED. LANDED UNEVENTFULLY AT D",Large,No Cloud,N,1000,8.318742253
ATR,51,2,Florida,Landing Roll,,Medium,Some Cloud,Y,0,8.701679071
B-737,46,2,Texas,Approach,NO DMG,Medium,No Cloud,Y,1000,5.375278408
B-727,39,3,Missouri,Approach,COST FOR LABOR ONLY. CREW HEARD LOUD THUD. LOTS OF DEBRIS ON LWR NOSE.,Medium,No Cloud,N,1700,3.970291914
B-747,25,4,N/A,Take-off run,PREC LDG. BIRDTRIKE INSPNC FOUND NO DEFECTS. COST WAS FOR PREC LDG AND INSPN.,Small,No Cloud,N,0,11.21393975
EMB,64,2,Wisconsin,Approach,NO DMG.,Small,No Cloud,N,2000,5.393627546
CL,54,2,North Carolina,Approach,DOVE/PIGEON. HIT PILOT'S EMERGENCY DOOR. INSP REQD BY MX. COST LESS THAN $500. TIME OUT OF SERVICE 1/2 HR.,Small,No Cloud,N,1800,6.17586727
Hawker,48,,Florida,Climb,"A/C STRUCK BIRD RIGHT AFTER ROTATION DURING INITIAL CLIMB. DAMAGED L WING ON THE 5TH TKS PANEL FROM WINGROOT. 4-5 DENTS ALONG CENTER PART OF PANEL ABOUT 8"" LONG AND 1-2 "" HIGH WITH VARIOUS DEPTH. THIS EXCEEDS THE ALLOWABLE DAMAGE OF DEPTH FOR MULTIPLE DEN",Large,No Cloud,N,40,9.266531652
C,57,2,Michigan,Take-off run,WENT THRU RT ENG. TORE LOOSE A TEMP PROBE AND CAUSED DAMAGE TO FAN BLADES.,Medium,No Cloud,N,0,10.80972795
DA,40,2,Georgia,Take-off run,"HIT L OTBD LE. SML (1,5"" DENT)",Medium,No Cloud,N,0,11.88847417
Learjet,53,2,Illinois,Climb,FLOCK OF SML BIRDS WERE SEEN APPROACHING THE RWY FROM THE WEST DURING LATE PART OF THE TAKE OFF RUN. BIRDS WERE STRUCK AFTER LIFTOFF WHILE LDG GEAR WAS IN TRANSIT. NO ABNORMAL INDICATIONS ON EITHER ENG BUT 1 STRIKE COULD BE SEEN ON L WING LE. WE FELT MULT,Small,Overcast,N,100,11.20642748
